"","com","dom","gn","minSteps","solved","graph","fap","graphSize","parallel","type","Class","gid","Y","M","count","sum","min","max","mean","sd","kurt","skew","pn","cdkey","pkey"
"1","IPC1998","gripper","strips-gripper-x-1",11,1,1,3,7,1,"Parallel","3 Hard","5a8be6ad9ec8e63cbb4c4cc0","f","PME",175,3033.88471177944,0,60,17.3364840673111,16.7663902182199,11237302134.1018,56032913.5570226,"1","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-1"
"2","IPC1998","gripper","strips-gripper-x-1",11,1,1,3,7,1,"Parallel","3 Hard","5a8be6ad9ec8e63cbb4c4cc0","a","PDE",364,1014.88095238095,0,8.33333333333333,2.78813448456305,3.0081790171435,11620.8267139799,1744.02082971925,"1","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-1"
"3","IPC1998","gripper","strips-gripper-x-1",11,1,1,3,7,1,"Parallel","3 Hard","5a8be6ad9ec8e63cbb4c4cc0","a","POE",364,1658.33333333334,3.57142857142857,8.33333333333333,4.55586080586082,1.54565063434243,81.9568176987718,96.6627487416078,"1","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-1"
"4","IPC1998","gripper","strips-gripper-x-1",11,1,1,3,7,1,"Parallel","3 Hard","5a8be6ad9ec8e63cbb4c4cc0","a","PME",364,16670.2894491129,0,79.4117647058823,45.797498486574,25.2173975809386,345134999465.407,733131731.380058,"1","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-1"
"5","IPC1998","gripper","strips-gripper-x-1",11,1,1,3,7,1,"Parallel","3 Hard","5a8be6ad9ec8e63cbb4c4cc0","f","POE",175,871.952380952381,0,45.2380952380952,4.98258503401361,9.16088330275854,462005565.185296,2095585.3969629,"1","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-1"
"6","IPC1998","gripper","strips-gripper-x-1",11,1,1,3,7,1,"Parallel","3 Hard","5a8be6ad9ec8e63cbb4c4cc0","f","PDE",175,389.250384024578,0,12.9032258064516,2.22428790871187,2.79932663416742,31121.4052055378,1758.84291391802,"1","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-1"
"7","IPC1998","gripper","strips-gripper-x-10",85,1,1,3,50,1,NA,"6 Not Proc","5a8bfa249ec8e67f460a0f48","a","PME",14424,627567.496211043,0,84.375,43.5085618560068,23.7568228378182,231189423229.668,475442494.023403,"10","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-10"
"8","IPC1998","gripper","strips-gripper-x-10",85,1,1,3,50,1,NA,"6 Not Proc","5a8bfa249ec8e67f460a0f48","a","PDE",14424,10978.0543785312,0,2.08333333333333,0.761096393408983,0.705938360010465,-2.90718577538408,0.292696735499159,"10","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-10"
"9","IPC1998","gripper","strips-gripper-x-10",85,1,1,3,50,1,NA,"6 Not Proc","5a8bfa249ec8e67f460a0f48","a","POE",14424,15903.9901129947,0.847457627118644,2.08333333333333,1.10260608104511,0.387940421011933,-2.9990536936656,0.0224303294410693,"10","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-10"
"10","IPC1998","gripper","strips-gripper-x-10",85,1,1,3,50,1,NA,"6 Not Proc","5a8bfa249ec8e67f460a0f48","f","PME",5789,70246.4471674958,0,65.2173913043478,12.1344700582995,12.7692229248168,940158368.424664,10214483.4807632,"10","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-10"
"11","IPC1998","gripper","strips-gripper-x-10",85,1,1,3,50,1,NA,"6 Not Proc","5a8bfa249ec8e67f460a0f48","f","POE",5789,996.738546049557,0,48.9247311827957,0.172178017973667,1.84753525873264,60179.8826068637,791.571822806151,"10","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-10"
"12","IPC1998","gripper","strips-gripper-x-10",85,1,1,3,50,1,NA,"6 Not Proc","5a8bfa249ec8e67f460a0f48","f","PDE",5789,4300.02925084973,0,14.8648648648649,0.74279309912761,1.84228399647913,7371.24457302413,315.840136065293,"10","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-10"
